2026-09-24	typst/typst	contrib	CONTRIBUTING.md	CONTRIBUTING.md	108	2	973	62	27	0	0	0	6	0	1	1
2026-09-24	vercel/turborepo	intro	README.md	README.md	48	4	2441	6	12	0	0	0	6	6	0	0
2026-09-24	vercel/turborepo	agent	AGENTS.md	AGENTS.md	27	25	2441	124	97	3	0	0	3	2	2	1
2026-09-24	vercel/turborepo	contrib	CONTRIBUTING.md	CONTRIBUTING.md	302	22	2441	155	112	22	6	1	25	42	3	3
2026-09-24	zed-industries/zed	intro	README.md	README.md	48	12	8825	25	17	0	0	2	6	18	1	1
2026-09-24	zed-industries/zed	agent	AGENTS.md	.rules	189	12	8825	70	24	10	0	0	21	0	11	9
2026-09-24	zed-industries/zed	contrib	CONTRIBUTING.md	CONTRIBUTING.md	186	13	8825	158	63	0	0	1	9	32	0	0
2025-09-24	astral-sh/ruff	intro	README.md	README.md	552	69	4225	195	178	115	5	9	30	252	7	4
2025-09-24	astral-sh/ruff	contrib	CONTRIBUTING.md	CONTRIBUTING.md	939	11	4225	49	27	221	23	7	34	45	61	46
2025-09-24	astral-sh/ty	intro	README.md	README.md	81	20	197	444	363	3	3	0	5	17	1	1
2025-09-24	astral-sh/ty	contrib	CONTRIBUTING.md	CONTRIBUTING.md	196	19	197	265	69	23	18	4	10	14	9	7
2025-09-24	astral-sh/uv	intro	README.md	README.md	329	18	3444	118	80	97	21	5	22	48	2	0
2025-09-24	astral-sh/uv	contrib	CONTRIBUTING.md	CONTRIBUTING.md	224	11	3444	75	43	30	13	2	15	15	6	6
2025-09-24	biomejs/biome	intro	README.md	packages/@biomejs/biome/README.md	191	27	1843	142	110	12	5	5	14	24	0	0
2025-09-24	biomejs/biome	agent	CLAUDE.md	CLAUDE.md	139	2	1843	139	0	43	16	0	28	0	7	2
2025-09-24	biomejs/biome	contrib	CONTRIBUTING.md	CONTRIBUTING.md	529	34	1843	308	227	65	15	6	44	100	6	5
2025-09-24	block/goose	intro	README.md	README.md	47	36	2230	343	540	0	0	2	4	12	0	0
